Freq.	V(out)
1.06009061034845e-002	-3.95714665037256e-002,7.07844617246230e-002
1.06055583222420e-002	-3.96059160302071e-002,7.08191729176389e-002
1.06102125826305e-002	-3.96403952927910e-002,7.08539041110864e-002
1.06148688855461e-002	-3.96749043166988e-002,7.08886553199420e-002
1.06195272318852e-002	-3.97094431271721e-002,7.09234265591965e-002
1.06241876225444e-002	-3.97440117494731e-002,7.09582178438556e-002
1.06288500584209e-002	-3.97786102088866e-002,7.09930291889396e-002
1.06335145404123e-002	-3.98132385307151e-002,7.10278606094830e-002
1.06381810694165e-002	-3.98478967402839e-002,7.10627121205355e-002
1.06428496463318e-002	-3.98825848629379e-002,7.10975837371610e-002
1.06475202720571e-002	-3.99173029240422e-002,7.11324754744381e-002
1.06521929474913e-002	-3.99520509489860e-002,7.11673873474606e-002
1.06568676735340e-002	-3.99868289631730e-002,7.12023193713360e-002
1.06615444510852e-002	-4.00216369920334e-002,7.12372715611875e-002
1.06662232810451e-002	-4.00564750610164e-002,7.12722439321527e-002
1.06709041643144e-002	-4.00913431955912e-002,7.13072364993836e-002
1.06755871017943e-002	-4.01262414212476e-002,7.13422492780475e-002
1.06802720943861e-002	-4.01611697634980e-002,7.13772822833261e-002
1.06849591429919e-002	-4.01961282478733e-002,7.14123355304159e-002
1.06896482485139e-002	-4.02311168999271e-002,7.14474090345285e-002
1.06943394118548e-002	-4.02661357452334e-002,7.14825028108902e-002
1.06990326339176e-002	-4.03011848093856e-002,7.15176168747420e-002
1.07037279156058e-002	-4.03362641180010e-002,7.15527512413399e-002
1.07084252578233e-002	-4.03713736967153e-002,7.15879059259549e-002
1.07131246614744e-002	-4.04065135711847e-002,7.16230809438725e-002
1.07178261274637e-002	-4.04416837670881e-002,7.16582763103934e-002
1.07225296566963e-002	-4.04768843101257e-002,7.16934920408333e-002
1.07272352500776e-002	-4.05121152260173e-002,7.17287281505229e-002
1.07319429085135e-002	-4.05473765405035e-002,7.17639846548075e-002
1.07366526329102e-002	-4.05826682793468e-002,7.17992615690476e-002
1.07413644241745e-002	-4.06179904683301e-002,7.18345589086188e-002
1.07460782832132e-002	-4.06533431332579e-002,7.18698766889115e-002
1.07507942109340e-002	-4.06887262999555e-002,7.19052149253314e-002
1.07555122082446e-002	-4.07241399942688e-002,7.19405736332989e-002
1.07602322760532e-002	-4.07595842420647e-002,7.19759528282496e-002
1.07649544152685e-002	-4.07950590692340e-002,7.20113525256348e-002
1.07696786267996e-002	-4.08305645016825e-002,7.20467727409195e-002
1.07744049115559e-002	-4.08661005653449e-002,7.20822134895855e-002
